[2025-10-20 03:15:57] [javac-extractor-29136] Starting extraction for:
                                              sun.java.command=com.semmle.extractor.java.JavaExtractor --jdk-version 21 --javac-args @@@C:\Sidd all in one\Unsafe\Lab6\CodeQL-Databases\zxing-codeql-db\log\ext\javac.args
                                              user.dir=C:\Sidd all in one\Unsafe\Lab6\Repos\zxing
[2025-10-20 03:15:57] [javac-extractor-29136] Compilation name C:/Sidd all in one/Unsafe/Lab6/CodeQL-Databases/zxing-codeql-db/trap/java/diagnostics/diagnostic.trap.gz
[2025-10-20 03:15:57] [javac-extractor-29136] [WARN] Appending source destination directory C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\target\generated-sources\annotations to sourcepath
[2025-10-20 03:16:00] [javac-extractor-29136] Annotation processor class 'lombok.launch.AnnotationProcessorHider$AnnotationProcessor' initialized.
[2025-10-20 03:16:02] [javac-extractor-29136] Annotation processor class 'lombok.launch.AnnotationProcessorHider$ClaimingProcessor' initialized.
[2025-10-20 03:16:02] [javac-extractor-29136] 238 files will be passed to the attrib/flow phase
[2025-10-20 03:16:03] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\BarcodeFormat.java
[2025-10-20 03:16:10] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\Binarizer.java
[2025-10-20 03:16:10] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\LuminanceSource.java
[2025-10-20 03:16:10] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\BitArray.java
[2025-10-20 03:16:10] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\NotFoundException.java
[2025-10-20 03:16:10] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\ReaderException.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\BitMatrix.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\BinaryBitmap.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\ChecksumException.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\DecodeHintType.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\Dimension.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\EncodeHintType.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\FormatException.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\InvertedLuminanceSource.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\MultiFormatReader.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\Reader.java
[2025-10-20 03:16:11] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\Result.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\ResultPoint.java
